story	generated
"And so I made no refusing of the tablets ; for I  did need them , that I make blood again within me , else should I be  lacking , when that there came any need anigh .  And we kist each the tablets of the other , and did drink from the same  cup , and did be utter happy ; and did be part like children , but also to  be man and maid .  And presently , the Maid did shift my bandages , as alway , and washt me  proper , and had me into comfort . But she did keep me alway very  low - lying ; and truly I scarce to mind ; for I was not gotten enough of my  strength , to give me to feel irked . And further , as you shall think ,  there did be that lovely One with me alway ; and did make sweet quips  unto me , and talkt and did laugh , and oft did come into singing ; for she  did be so sweetly joyed that I was in life and did mend so proper .  And afterward , she went off from me a little , to her toilet ; but I to  ask that she be so swift as might be , and she to promise very merry ; and  she came back in a little while , and her hair to be in a lovely cloud  about her shoulders , and her pretty feet yet to be bared from her bath ,  which she had in a pool beyond some bushes ; and she to say that I did be  so impatient a man , that she to be forced that she do the half of her  dressing with me ; but truly , she came thiswise only because she to know  how I did delight in her thus , and to watch the way that she set up her  abundance of hair ; and she to be hungry also that she be with me , and to  love me that I watch her , even while that there did be oft a little and  quaint stirring of shyness in her dear heart .  And I had her to come beside me , and to sit anigh to my hand ; and I made  presently that I did scold her , because that she had no proper care to  her pretty feet ; and I bid her to set her feet toward me , that I look  the more close at them . And she to be a pretty rogue , and did think I to  mean to kiss them -- and truly not to think alway wrong -- but I then to  have another planning ; for I had pluckt
"	0
"”  At this noise the King put his head out of the coach - window , and ,  finding it was the Cat who had so often brought him such good game ,  he commanded his guards to run immediately to the assistance of his  Lordship the Marquis of Carabas . While they were drawing the poor  Marquis out of the river , the Cat came up to the coach and told the King  that , while his master was washing , there came by some rogues , who  went off with his clothes , though he had cried out : “ Thieves ! thieves ! ”   several times , as loud as he could .  This cunning Cat had hidden them under a great stone . The King  immediately commanded the officers of his wardrobe to run and fetch one  of his best suits for the Lord Marquis of Carabas .  The King caressed him after a very extraordinary manner , and as the fine  clothes he had given him extremely set off his good mien ( for he was  well made and very handsome in his person ) , the King ’s daughter took a  secret inclination to him , and the Marquis of Carabas had no sooner cast  two or three respectful and somewhat tender glances but she fell in love  with him to distraction . The King would needs have him come into the  coach and take part of the airing . The Cat , quite overjoyed to see his  project begin to succeed , marched on before , and , meeting with some  countrymen , who were mowing a meadow , he said to them :  “ Good people , you who are mowing , if you do not tell the King that  the meadow you mow belongs to my Lord Marquis of Carabas , you shall be  chopped as small as herbs for the pot . ”  The King did not fail asking of the mowers to whom the meadow they were  mowing belonged .  “ To my Lord Marquis of Carabas , ” answered they altogether , for the Cat ’s  threats had made them terribly afraid .  “ You see , sir , ” said the Marquis , “ this is a meadow which never fails to  yield a plentiful harvest every year . ”  The Master Cat , who went still on before , met with some reapers , and  said to them :  “ Good people , you who are reaping , if you do not tell the King that all  this corn belongs to the Marquis of Carabas , you shall be chopped as  small as herbs for the pot . ”  The King , who passed by a moment after , would needs
"	0
"Tranquilly permitting these  irregular cursings to evaporate , Stubb then in a plain , business - like ,  but still half humorous manner , cursed Pip officially ; and that done ,  unofficially gave him much wholesome advice . The substance was , Never  jump from a boat , Pip , except — but all the rest was indefinite , as the  soundest advice ever is . Now , in general , _ Stick to the boat _ , is your  true motto in whaling ; but cases will sometimes happen when _ Leap from  the boat _ , is still better . Moreover , as if perceiving at last that if  he should give undiluted conscientious advice to Pip , he would be  leaving him too wide a margin to jump in for the future ; Stubb suddenly  dropped all advice , and concluded with a peremptory command , “ Stick to  the boat , Pip , or by the Lord , I wo n’t pick you up if you jump ; mind  that . We ca n’t afford to lose whales by the likes of you ; a whale would  sell for thirty times what you would , Pip , in Alabama . Bear that in  mind , and do n’t jump any more . ” Hereby perhaps Stubb indirectly hinted ,  that though man loved his fellow , yet man is a money - making animal ,  which propensity too often interferes with his benevolence .  But we are all in the hands of the Gods ; and Pip jumped again . It was  under very similar circumstances to the first performance ; but this  time he did not breast out the line ; and hence , when the whale started  to run , Pip was left behind on the sea , like a hurried traveller ’s  trunk . Alas ! Stubb was but too true to his word . It was a beautiful ,  bounteous , blue day ; the spangled sea calm and cool , and flatly  stretching away , all round , to the horizon , like gold - beater ’s skin  hammered out to the extremest . Bobbing up and down in that sea , Pip ’s  ebon head showed like a head of cloves . No boat - knife was lifted when  he fell so rapidly astern . Stubb ’s inexorable back was turned upon him ;  and the whale was winged . In three minutes , a whole mile of shoreless  ocean was between Pip and Stubb . Out from the centre of the sea , poor  Pip turned his crisp , curling , black head to the sun , another lonely  castaway , though the loftiest and the brightest .  Now , in calm weather , to swim in
"	0
"He traveled for two  days and two nights in a day coach and , outside of the fact that he  absolutely refused to leave the train at any moment for fear of seeing  it go off without him , he appeared to enjoy the trip .  In Montreal he seemed to fight shy of the streets and preferred to  remain in the lobby of the small hotel where a room had been reserved  for him . He sat there all day , looking through the window .  On his return to the hunting grounds , he met me on my way south and told  me how much he had liked his journey to the big city . Through sheer  curiosity , I asked him then what had surprised him the most while he was  in civilization . Was it the sight of the trains , motor cars , street  cars , the telephone , the electric lights or the stone houses ? No , none  of these things seemed to have impressed him in the slightest . Finally  he admitted that there was one thing that had astonished him , and that  was the people in the street in front of his hotel . All those people  walking so fast and passing one another without a sign . People who never  stopped to speak . People who did not seem to know one another . That , he  could not fathom at all .                              Tale V : A Pilot  Into the lower part of Ungava Bay flows a vicious , treacherous , steel  grey river called the Koksoak . Fifteen miles up that river there lies a  big trading station which deals with Eskimos from the barren lands and  with the Nascopi Indians from the interior of Labrador .  Tides in Ungava Bay vary from twenty to thirty feet . A 3,000-ton steamer  can reach the station safely , but she must steam up the river on the  flood of the tide two or three hours after the turn . The native pilot  alone , through certain land marks known to him , can judge the exact time  when to start . He alone can steer the ship ’s course through the winding  narrow channel which , amidst whirlpools and rapids , between rocks and  through narrow gorges , leads to a safe anchorage fifteen miles inland in  front of the Post .  At first , and during several years afterwards , we had used a small  100-ton auxiliary schooner to bring in the yearly supplies . Finally we  decided to take the risk of calling at Fort Chimo , for such is the name  of the Post , with our new steamer of 1,000 tons .  That year when we anchored at the mouth
"	0
" Then suddenly the King saw coming through the sky the great straggling ,  sprawling , wicked shape of the Red Dragon . And he knew at once what he  must do . He caught up _ The Book of Beasts _ and jumped on the back of the  gentle , beautiful Hippogriff , and leaning down he whispered in the  sharp , white ear : "" Fly , dear Hippogriff , fly your very fastest to the  Pebbly Waste . ""  And when the Dragon saw them start , he turned and flew after them , with  his great wings flapping like clouds at sunset , and the Hippogriff 's  wide wings were snowy as clouds at moonrise .  When the people in the town saw the Dragon fly off after the Hippogriff  and the King they all came out of their houses to look , and when they  saw the two disappear they made up their minds to the worst , and began  to think what they would wear for Court mourning .  But the Dragon could not catch the Hippogriff . The red wings were bigger  than the white ones , but they were not so strong , and so the  white - winged horse flew away and away and away , with the Dragon  pursuing , till he reached the very middle of the Pebbly Waste .  Now , the Pebbly Waste is just like the parts of the seaside where there  is no sand -- all round , loose , shifting stones , and there is no grass  there and no tree within a hundred miles of it .  Lionel jumped off the white horse 's back in the very middle of the  Pebbly Waste , and he hurriedly unclasped _ The Book of Beasts _ and laid  it open on the pebbles . Then he clattered among the pebbles in his haste  to get back on to his white horse , and had just jumped on when up came  the Dragon . He was flying very feebly , and looking around everywhere for  a tree , for it was just on the stroke of twelve , the sun was shining  like a gold guinea in the blue sky , and there was not a tree for a  hundred miles .  The white - winged horse flew around and around the Dragon as he writhed  on the dry pebbles . He was getting very hot : indeed , parts of him even  had begun to smoke . He knew that he must certainly catch fire in  another minute unless he could get under a tree . He made a snatch with  his red claws at the King and Hippogriff , but he was too feeble to reach  them , and besides ,
"	0
"We  sat on the stairs and watched the big clock , which I was just learning  to read ; and Patty made herself giddy with constantly looking up and  counting the four strokes , towards which the hour hand slowly moved .  We put our noses into the kitchen now and then , to smell the cakes  and get warm , and anon we hung about the parlour door , and were most  unjustly accused of trying to peep . What did we care what our mother  was doing in the parlour?--we who had seen Old Father Christmas  himself , and were expecting him back again every moment !  "" At last the church clock struck . The sounds boomed heavily through  the frost , and Patty thought there were four of them . Then , after due  choking and whirring , our own clock struck , and we counted the strokes  quite clearly -- one ! two ! three ! four ! Then we got Kitty 's shawl once  more , and stole out into the back - yard . We ran to our old place , and  peeped , but could see nothing .  "" ' We 'd better get up on to the wall , ' I said ; and with some difficulty  and distress from rubbing her bare knees against the cold stones , and  getting the snow up her sleeves , Patty got on the coping of the little  wall . I was just struggling after her , when something warm and  something cold coming suddenly against the bare calves of my legs ,  made me shriek with fright . I came down ' with a run , ' and bruised my  knees , my elbows , and my chin ; and the snow that had n't gone up  Patty 's sleeves , went down my neck . Then I found that the cold thing  was a dog 's nose , and the warm thing was his tongue ; and Patty cried  from her post of observation , ' It 's Father Christmas 's dog , and he 's  licking your legs . '  "" It really was the dirty little brown and white spaniel ; and he  persisted in licking me , and jumping on me , and making curious little  noises , that must have meant something if one had known his language .  I was rather harassed at the moment . My legs were sore , I was a little  afraid of the dog , and Patty was very much afraid of sitting on the  wall without me .  "" ' You wo n't fall , ' I said to her . ' Get down , will you ! ' I said to the  dog .  "" '
"	0
" Then perforce they made stay , and gathered together under a bent which by  good luck they happened upon , where they were sheltered from the worst of  the drift .   There they abode , till in less than an hour ’s space the drift  abated and the wind fell , and in a little while after it was quite clear ,  with the sun shining brightly and the young waxing moon white and high up  in the heavens ; and the frost was harder than ever .  This seemed good to them ; but now that they could see each other ’s faces  they fell to telling over their company , and there was none missing save  Face - of - god .   They were somewhat dismayed thereat , but knew not what to  do , and they deemed he might not be far off , either a little behind or a  little ahead ; and Hall - face said :  ‘ There is no need to make this to - do about my brother ; he can take good  care of himself ; neither does a warrior of the Face die because of a  little cold and frost and snow - drift .   Withal Gold - mane is a wilful man ,  and of late days hath been wilful beyond his wo nt ; let us now find the  elks . ’  So they went on their ways hoping to fall in with him again .   No long  story need be made of their hunting , for not very far from where they had  taken shelter they came upon the elks , many of them , impounded in the  drifts , pretty much where the deft hunters looked to find them .   There  then was battle between the elks and the men , till the beasts were all  slain and only one man hurt : then they made them sleighs from wood which  they found in the hollows thereby , and they laid the carcasses thereon ,  and so turned their faces homeward , dragging their prey with them .   But  they met not Face - of - god either there or on the way home ; and Hall - face  said : ‘ Maybe Gold - mane will lie on the fell to - night ; and I would I were  with him ; for adventures oft befall such folk when they abide in the  wilds . ’  Now it was late at night by then they reached Burgstead , so laden as they  were with the dead beasts ; but they heeded the night little , for the moon  was well - nigh as bright as day for them .   But when they came to the gate 
"	0
"” said Jo , strolling along with her hands behind her , partly from  habit , partly to conceal the bespattered parasol .  “ Why do you always avoid Mr. Tudor ? ” asked Amy , wisely refraining from  any comment upon Jo ’s dilapidated appearance .  “ Do n’t like him , he puts on airs , snubs his sisters , worries his  father , and does n’t speak respectfully of his mother . Laurie says he is  fast , and I do n’t consider him a desirable acquaintance , so I let him  alone . ”  “ You might treat him civilly , at least . You gave him a cool nod , and  just now you bowed and smiled in the politest way to Tommy Chamberlain ,  whose father keeps a grocery store . If you had just reversed the nod  and the bow , it would have been right , ” said Amy reprovingly .  “ No , it would n’t , ” returned Jo , “ I neither like , respect , nor admire  Tudor , though his grandfather ’s uncle ’s nephew ’s niece was a third  cousin to a lord . Tommy is poor and bashful and good and very clever . I  think well of him , and like to show that I do , for he is a gentleman in  spite of the brown paper parcels . ”  “ It ’s no use trying to argue with you , ” began Amy .  “ Not the least , my dear , ” interrupted Jo , “ so let us look amiable , and  drop a card here , as the Kings are evidently out , for which I ’m deeply  grateful . ”  The family cardcase having done its duty the girls walked on , and Jo  uttered another thanksgiving on reaching the fifth house , and being  told that the young ladies were engaged .  “ Now let us go home , and never mind Aunt March today . We can run down  there any time , and it ’s really a pity to trail through the dust in our  best bibs and tuckers , when we are tired and cross . ”  “ Speak for yourself , if you please . Aunt March likes to have us pay her  the compliment of coming in style , and making a formal call . It ’s a  little thing to do , but it gives her pleasure , and I do n’t believe it  will hurt your things half so much as letting dirty dogs and clumping  boys spoil them . Stoop down , and let me take the crumbs off of your  bonnet . ”  “ What a good girl you are , Amy ! ” said
"	0
"  She stepped ashore straightway , and looked up the  land and to the right hand and the left , and saw at once that it was  indeed the Isle of Queens , and the house stood trim and lovely as of old  time ; then she longed somewhat to tread the green meadow a little , for  yet young was the day , and she saw nought stirring save the throstle and  a few small beasts .   However , she said to herself that she would go  nowhere nigh to the goodly house wherein abode those images of death .  Yet her body longed so sore for the springtide freshness of the grass ,  and was so bewooed of the flowery scent thereof , that though she durst  not go unarmed , she did off her footgear and went stealing softly  barefoot and with naked legs over the embroidered greensward , saying  aloud to herself : If run for the ferry I needs must , lighter shall I run  so dight .  Nonetheless , she had gone but a little way ere a terror took hold of her ,  though she saw no child of Adam anigh , and she turned and ran back  swiftly to her old place and sat down under a twisted oak - tree hard by  the Sending Boat , and abode there panting and quaking , and scarce daring  to look up from the grass for a while .   Then her heart came back to her ,  and she laughed , and said to herself : I am a fool , for I need fear nought  on this Isle of Queens save women like myself .  Yet she sat there a little while longer without stirring ; then she stood  up and looked keenly around , and , as aforesaid , exceeding far - sighted she  was ; but still she saw neither man nor maid nor suckling child .  Then her eyes sought the lips of the lake , and rested on a little bight  some stone ’s throw ahead of the Sending Boat , where , a little back from  the water , slim willows made a veil betwixt the water of the meadow ; and  she looked , and saw how pleasant a place it were for a one to stand and  look on the ripple just left , while the water dripped from the clear body  on to the grass .   And her bare feet fell to telling her clad sides of the  sweet coolness of the water , and waited for no naysay , but lightly bore  her toward the willowy bight .   And when she was there , she did off her  sallet and ungirt her , and laid her sword on the
"	0
""" Go on . ""    Well , old First Premium tried to quiet them again , and when he    could n't he apologized to the other little girl so nicely that she    began to like him . He said they did n't mean any harm by it ; they were    just excited , and chickledren would be chickledren .    "" Yes , "" said the other little girl , "" but I think you might take some    older person to begin with . It 's a perfect shame to begin with a    little girl . ""    "" Begin ! "" says old First Premium . "" Do you think we 're just _ beginning _ ?    Why , when do you think it is ? ""    "" The night after Thanksgiving . ""    "" What year ? ""    "" 1886 . ""    They all gave a perfect screech . "" Why , it 's Christmas Eve , 1900 , and    every one of your friends has been eaten up long ago , "" says old First    Premium , and he began to cry over her , and the old hen - turkey and the    little turkey chicks began to wipe their eyes on the backs of their    wings .  "" I do n't think they were very neat , "" said the little girl .  Well , they were kind - hearted , anyway , and they felt sorry for the other  little girl . And she began to think she had made some little impression  on them , when she noticed the old hen - turkey beginning to untie her  bonnet strings , and the turkey chicks began to spread round her in a  circle , with the points of their wings touching , so that she could n't  get out , and they commenced dancing and singing , and after a while that  little he - turkey says , "" Who 's _ it _ ? "" and the other little girl , she  did n't know why , says , "" _ I 'm _ it , "" and old First Premium says , "" Do you  promise ? "" and the other little girl says , "" Yes , I promise , "" and she knew  she was promising , if they would let her go , that people should never  eat turkeys any more . And the moon began to shine brighter and brighter  through the turkeys , and pretty soon it was the sun , and then it was not  the turkeys , but the window - curtains -- it was one of those old  farm - houses where they do n't have blinds -- and the other little girl--  "" Woke up ! "" shouted the little girl . ""
"	0
