story	human	generator
"  "" 1 . The Renowned History of Giles Gingerbread : a little boy who lived       upon learning .   "" 2 . The Easter Gift ; or the way to be good ; a book much wanted .   "" 3 . The Whitsuntide Gift : or the way to be happy ; a book very necessary       for all families .   "" 4 . The Valentine Gift : or how to behave with honour , integrity , and       humanity : very useful with a Trading Nation .   "" 5 . The Fairing : or a golden present for children . In which they can       see all the fun of the fair , and at home be as happy as if they were       there , a Book of great consequence to all whom it may concern . '   "" We are also desired to give notice that there is in the Press , and    speedily will be published either by subscription or otherwise , as the    Public shall please to determine , The History of Little Goody Two    Shoes , otherwise called Margery Two Shoes . Printed and sold at The    Bible and Sun in St Paul 's Churchyard , where may be had all Mr    Newbery 's little books for the children and youth of these kingdoms    and the colonies . New Editions of those which were out of print are    now republished .   "" The publication of the Lilliputian System of Politics is postponed    till the meeting of Parliament . This work , which will be replete with    cuts and characters , is not intended to exalt or depress any    particular country , to support the pride of any particular family , or    to feed the folly of any particular party , but to stimulate the mind    to virtue , to promote universal benevolence , to make mankind happy .    Those who would know more of the matter may enquire of Mr Newbery . ""  This quaint and curious announcement , with its sly humour and serious  playfulness , is characteristic of the house of John Newbery , in the  latter part of the last century ; and there is no need to speak here of  the fame of the books for children which he published ; "" the  philanthropic publisher of St Paul 's Churchyard , "" as Goldsmith calls  him , conferred inestimable benefits upon thousands of little folk , of  both high and low estate . It is said of Southey when a child that   "" The well - known publishers of "" Goody Two Shoes , "" "" Giles Gingerbread , ""    and other such delectable histories , in sixpenny books for children ,    splendidly bound in the flowered and gilt Dutch paper of former days ,    sent him twenty such"	1	0
" "" Goody Two Shoes "" was published in April 1765 , and few nursery books  have had a wider circulation , or have retained their position so long .  The number of editions that have been published both in England and  America is legion , and it has appeared in mutilated versions under the  auspices of numerous publishing houses in London and the provinces ,  although of late years there have been no new issues . Even in 1802 ,  Charles Lamb in writing to Coleridge , said--   "" "" Goody Two Shoes "" is almost out of print . Mrs Barbauld 's stuff has    banished all the old classics of the nursery , and the shopman at    Newbery 's hardly deigned to reach them off an old exploded corner of    a shelf , when Mary asked for them . Mrs Barbauld 's and Mrs Trimmer 's    nonsense lay in piles about . Knowledge , insignificant and vapid as Mrs    Barbauld 's books convey , it seems must come to a child in the shape of    knowledge ; and his empty noddle must be turned with conceit of his own    powers when he has learnt that a horse is an animal , and Billy is    better than a horse , and such like , instead of that beautiful interest    in wild tales , which made the child a man , while all the time he    suspected himself to be no bigger than a child . Science has succeeded    to poetry no less in the little walks of children than with men . Is    there no possibility of averting this sore evil ? Think what you would    have been now , if instead of being fed with tales and old wives '    fables in childhood , you had been crammed with geography and natural    history !   "" Hang them!--I mean the cursed Barbauld crew , those blights and blasts    of all that is human in man and child . ""[B ]  There must , however , be many parents still living who remember the  delight that the little story gave them in their younger days , and  they will , no doubt , be pleased to see it once more in the form which  was then so familiar to them . The children of to - day , too , will look  on it with some curiosity , on account of the fact that it is one of  the oldest of our nursery tales , and amused and edified their  grand - parents and great grand - parents when they were children , while  they can not fail to be attracted by its simple , pretty , and  interesting story .         *        *        *        *        *  The question of the authorship"	1	0
" We find , however , in Nichol 's Literary Anecdotes , that   "" It is not perhaps generally known that to Mr Griffith Jones , and a    brother of his , Mr Giles Jones , in conjunction with Mr John Newbery ,    the public are indebted for the origin of those numerous and popular    little books for the amusement and instruction of children which have    been ever since received with universal approbation . The Lilliputian    histories of Goody Two Shoes , Giles Gingerbread , Tommy Trip , & c. , & c. ,    are remarkable proofs of the benevolent minds of the projectors of    this plan of instruction , and respectable instances of the    accommodation of superior talents to the feeble intellects of    infantine felicity . ""  Mr Giles Jones was the grandfather of the late Mr Winter Jones ,  formerly the Principal Librarian of the British Museum , and the book  is attributed to the first - named gentleman in the catalogue of the  British Museum . It is claimed also that the book offers internal  evidence in support of Mr Giles Jones ' authorship , inasmuch as Goody  Two Shoes becomes Lady Jones , and one of the prominent families in the  book is also named Jones .  Beyond this , however , there appears to be no evidence as to Mr Giles  Jones being the writer , and I think something may be said as to the  claim on behalf of the poet Goldsmith , although I am by no means  anxious that the honour of having written it should be ascribed either  to the one or to the other : the following remarks , which are mainly  taken from an article I contributed to the _ Athenæum _ in April  1881 , are offered simply as speculations which may not be without  interest to lovers of the little book . They may , perhaps , show that  there is some reason for attributing the work to Oliver Goldsmith ,  although , of course , it is not claimed that they absolutely establish  the fact .  Having occasion to examine carefully as many of the books for children  published by John Newbery as I could procure ( and they are as scarce  as blackberries in midwinter , for what among books has so brief a life  as a nursery book ? ) , I was struck while perusing them with a certain  distinct literary flavour , so to speak , which appeared to be common to  a group of little volumes , all published about the same period . These  were : "" Goody Two Shoes , "" "" Giles Gingerbread , "" "" Tom Thumb 's Folio , ""  "" The Lilliputian Magazine , "" "" The Lilliputian Masquerade"	1	0
"This group of little books  possesses , moreover , another characteristic that is sufficiently  remarkable of itself to be noticed . While they all evince a real  genius for writing in a style suited to the capacities of little folk ,  there is a nameless something about them which , far more than is the  case with thousands of other books for the young , is calculated to  enforce the attention and excite the interest of "" children of a larger  growth . ""  Now one of this little group , "" The Lilliputian Magazine , "" is  attributed in the British Museum Catalogue to Oliver Goldsmith ; and so  strong is the family likeness in all the books I have mentioned , that  I can not but believe they are all by the same hand -- a belief which I  think will be shared by any one who will take the trouble to compare  them carefully . But I should advise him to rely on the Newbery  editions alone , for grievously garbled versions of nearly every one of  these books have been issued from many different houses throughout the  country .  Many authorities have supported the view that Goldsmith was the author  of "" Goody Two Shoes . "" Conspicuous among them was Washington Irving ,  who says , "" It is suggested with great probability that he wrote for Mr  Newbery the famous nursery story of ' Goody Two Shoes . ' "" It is said  also that William Godwin held this opinion ; and I believe there is  authority for stating that the Misses Bewick , the daughters of the  celebrated engraver , who illustrated an edition of the book for T.  Saint , of Newcastle , understood from their father that it was by  Oliver Goldsmith .  But let us turn to the book itself and see if it furnishes any  evidence on the point . The very title , with its quaint phrasing , shows  no common genius , and as Washington Irving says , "" bears the stamp of  his [ Goldsmith 's ] sly and playful humour . "" As the book was published  in 1765 , it would most likely have been written just at the time when  Goldsmith was working most industriously in the service of Newbery  ( 1763 - 4 ) , at which period it will be remembered that he was living  near Newbery at Islington , and his publisher was paying for his board  and lodging .  Without , of course , claiming that similarity of idea in different  writings necessarily betokens the same authorship , I think the  parallels that are to be found in this little book , with many of the  sentiments in Oliver Goldsmith 's"	1	0
"In describing the parish of Mouldwell , where  little Margery was born , an exact picture is drawn of "" The Deserted  Village , "" where    One only master grasps the whole domain    And half a tillage tints thy smiling plain ;  And where    ---- the man of wealth and pride    Takes up a space that many a poor supplied :    Space for his lakes his park 's extended bounds ,    Space for his horses , equipage , and hounds .  And by this and other tyrannies , and being also    Scourged by famine from the smiling land ,  for he was "" unfortunate in his business "" at about the same time , Sir  Timothy accomplishes his aim , and    Indignant spurns the cottage from the green .  Ruined by this oppression , poor Mr Meanwell is turned out of doors ,  and flew to another parish for succour .    Where , then , ah ! where shall poverty reside    To ' scape the pressure of contiguous pride ?  Sir Timothy , however , suffers for his injustice and wickedness , for  "" great part of the land lay untilled for some years , which was deemed  a just reward for such diabolical proceedings . ""    Ill fares the land , to hastening ills a prey ,    Where wealth accumulates and men decay .  Miss Charlotte Yonge , to whom I shall refer again , lays upon this : "" If  the conjecture be true which attributes this tale to Oliver Goldsmith ,  we have seen the same spirit which prompted his poem of ' The Deserted  Village , ' namely , indignation and dismay at the discouragement of  small holdings in the early part of the eighteenth century . ""[C ]  Indeed , it may well be that we have in this preface even a more true  picture of Lissoy than that given in the poem , which , as Mr William  Black says in his monograph on Goldsmith , "" is there seen through the  softening and beautifying mist of years . ""  Much more might be said of the characteristics of this little book ,  which contains so much that reminds us not only of the style but the  matter of many of Goldsmith 's writings . Miss Yonge says : "" There is a  certain dry humour in some passages and a tenderness in others that  incline us much to the belief that it could come from no one else but  the writer of ' The Vicar of Wakefield ' and ' The Deserted Village . '  Indeed , we could almost imagine that Dr Primrose himself had described  the panic at the supposed ghost in the church in the same tone as the "	1	0
"       _ How and about Little _ Margery _ and her _ Brother .  Care and Discontent shortened the Days of Little _ Margery 's _  Father.--He was forced from his Family , and seized with a violent  Fever in a Place where Dr. _ James 's _ Powder was not to be had ,  and where he died miserably . _ Margery 's _ poor Mother survived the  Loss of her Husband but a few Days , and died of a broken Heart ,  leaving _ Margery _ and her little Brother to the wide World ; but ,  poor Woman , it would have melted your Heart to have seen how  frequently she heaved up her Head , while she lay speechless , to survey  with languishing Looks her little Orphans , as much as to say , _ Do  Tommy , do Margery , come with me _ . They cried , poor Things , and she  sighed away her Soul ; and I hope is happy .  It would both have excited your Pity , and have done your Heart good ,  to have seen how fond these two little ones were of each other , and  how , Hand in Hand , they trotted about . Pray see them .  They were both very ragged , and _ Tommy _ had two Shoes , but  _ Margery _ had but one . They had nothing , poor Things , to support  them ( not being in their own Parish ) but what they picked from the  Hedges , or got from the poor People , and they lay every Night in a  Barn . Their Relations took no Notice of them ; no , they were rich , and  ashamed to own such a poor little ragged Girl as _ Margery _ , and  such a dirty little curl - pated Boy as _ Tommy _ . Our Relations and  Friends seldom take Notice of us when we are poor ; but as we grow rich  they grow fond . And this will always be the Case , while People love  Money better than Virtue , or better than they do GOD Almighty . But  such wicked Folks , who love nothing but Money , and are proud and  despise the Poor , never come to any good in the End , as we shall see  by and by .                                CHAP . II .                     _ How and about Mr. _ Smith .  Mr. _ Smith _ was a very worthy Clergyman , who lived in the Parish  where Little _ Margery _ and _ Tommy _ were born ; and having a  Relation come to see him , who was a charitable good Man , he sent for  these Children to
Pray look at him .  After some Days the Gentleman intended to go to _ London _ , and  take little _ Tommy _ with him , of whom you will know more by and  by , for we shall at a proper Time present you with some Part of his  History , his Travels and Adventures .  The Parting between these two little Children was very affecting ,  _ Tommy _ cried , and _ Margery _ cried , and they kissed each  other an hundred Times . At last _ Tommy _ thus wiped off her Tears  with the End of his Jacket , and bid her cry no more , for that he would  come to her again , when he returned from Sea . However , as they were so  very fond , the Gentleman would not suffer them to take Leave of each  other ; but told _ Tommy _ he should ride out with him , and come  back at Night . When night came , Little _ Margery _ grew very uneasy  about her Brother , and after sitting up as late as Mr. _ Smith _  would let her , she went crying to Bed .                                CHAP . III .           _ How Little _ Margery _ obtained the Name of _          Goody Two - Shoes , _ and what happened in the Parish . _  As soon as Little _ Margery _ got up in the Morning , which was very  early , she ran all round the Village , crying for her Brother ; and  after some Time returned greatly distressed . However , at this Instant ,  the Shoemaker very opportunely came in with the new Shoes , for which  she had been measured by the Gentleman 's Order .  Nothing could have supported Little _ Margery _ under the  Affliction she was in for the Loss of her Brother , but the Pleasure  she took in her _ two Shoes _ . She ran out to Mrs. _ Smith _ as  soon as they were put on , and stroking down her ragged Apron thus ,  cried out , _ Two Shoes , Mame , see two Shoes _ . And so she behaved  to all the People she met , and by that Means obtained the Name of  _ Goody Two - Shoes _ , though her Playmates called her _ Old Goody  Two - Shoes _ .  Little _ Margery _ was very happy in being with Mr. and Mrs.  _ Smith _ , who were very charitable and good to her , and had agreed  to breed her up with their Family ; but as soon as that Tyrant of the  Parish , that _ Graspall _ , heard of her being
 Mrs. _ Smith _ was also greatly concerned at being thus obliged to  discard poor Little _ Margery _ . She kissed her and cried ; as also  did Mr. _ Smith _ , but they were obliged to send her away ; for the  People who had ruined her Father could at any Time have ruined them .                                CHAP . IV .              _ How Little _ Margery _ learned to read ,                    and by Degrees taught others . _  Little _ Margery _ saw how good , and how wise Mr. _ Smith _ was ,  and concluded , that this was owing to his great Learning , therefore  she wanted of all Things to learn to read . For this Purpose she used  to meet the little Boys and Girls as they came from School , borrow  their Books , and sit down and read till they returned ;  By this Means she soon got more Learning than any of her Playmates ,  and laid the following Scheme for instructing those who were more  ignorant than herself . She found , that only the following Letters were  required to spell all the Words in the World ; but as some of these  Letters are large and some small , she with her Knife cut out of  several Pieces of Wood ten Setts of each of these :                      a b c d e f g h i j k l m n o                      p q r   ( s )   s t u v w x y z.  [ Post - processor 's note : ( s ) is an old - English style non - terminating  letter  s "" . ]                         And six Setts of these :                       A B C D E F G H I K L M N O                          P Q R S T U V W X Y Z.  And having got an old Spelling - Book , she made her Companions set up  all the Words they wanted to spell , and after that she taught them to  compose Sentences . You know what a Sentence is , my Dear , _ I will be  good _ , is a Sentence ; and is made up , as you see , of several Words .  The usual Manner of Spelling , or carrying on the Game , as they called  it , was this : Suppose the Word to be spelt was Plumb Pudding ( and who  can suppose a better ) the Children were placed in a Circle , and the  first brought the Letter _ P _ , the next _ l _ , the next _ u _ , the next  _ m _ , and so on till the Whole was spelt ; and"	1	0
" I once went her Rounds with her , and was highly diverted , as you may  be , if you please to look into the next Chapter .                                 CHAP . V.         _ How Little _ Two - Shoes _ became a trotting Tutoress                  and how she taught her young Pupils . _  It was about seven o'Clock in the Morning when we set out on this  important Business , and the first House we came to was Farmer  _ Wilson 's _ . See here it is .  Here _ Margery _ stopped , and ran up to the Door , _ Tap , tap , tap _ . Who 's  there ? Only little goody _ Two - Shoes _ , answered _ Margery _ , come to  teach _ Billy _ . Oh Little _ Goody _ , says Mrs. _ Wilson _ , with Pleasure in  her Face , I am glad to see you , _ Billy _ wants you sadly , for he has  learned all his Lesson . Then out came the little Boy . _ How do doody  Two - Shoes _ , says he , not able to speak plain . Yet this little Boy had  learned all his Letters ; for she threw down this Alphabet mixed  together thus :                      b d f h k m o q s u w y z [ f ]                      a c e g i l n p r t v x j  and he picked them up , called them by their right Names , and put them  all in order thus :                      a b c d e f g h i j k l m n o                      p q r   ( s )   s t u v w x y z.  [ Post - processor 's note : ( s ) is an old - English style non - terminating  letter "" s "" . ]  She then threw down the Alphabet of Capital Letters in the Manner you  here see them .                        B D F H K M O Q S U W Y Z                        A C E G I L N P R T V X J.  and he picked them all up , and having told their Names , placed them  thus :                        A B C D E F G H I J K L M                        N O P Q R S T U V W X Y Z.  Now , pray little Reader , take this Bodkin , and see if you can point  out the Letters from these mixed Alphabets , and tell how they should  be placed as well as little Boy _ Billy _ .  The next Place we came to was Farmer _ Simpson 's _ ,"	1	0
Sirrah , says his  Mistress , what do you bark at Little _ Two - Shoes _ . Come in  _ Madge _ ; here , _ Sally _ wants you sadly , she has learned all  her Lesson . Then out came the little one : So _ Madge ! _ say she ; so  _ Sally ! _ answered the other , have you learned your Lesson ? Yes ,  that 's what I have , replied the little one in the Country Manner ; and  immediately taking the Letters she set up these Syllables :                      ba be bi bo bu , ca ce ci co cu                      da de di do du , fa fe fi so fu .  and gave them their exact Sounds as she composed them ; after which she  set up the following ;                      ac ec ic oc uc , ad ed i d od ud                      af ef if of uf , ag eg ig og ug .  And pronounced them likewise . She then sung the Cuzz 's Chorus ( which  may be found in the _ Little Pretty Play Thing _ , published by Mr.  NEWBERY ) and to the same Tune to which it is there set .  After this , Little _ Two - Shoes _ taught her to spell Words of one  Syllable , and she soon set up Pear , Plumb . Top , Ball , Pin , Puss , Dog ,  Hog , Fawn , Buck , Doe , Lamb , Sheep , Ram , Cow , Bull , Cock , Hen , and many  more .  The next Place we came to was _ Gaffer Cook 's _ Cottage ; there you  see it before you .  Here a number of poor Children were met to learn ; who all came round  Little _ Margery _ at once ; and , having pulled out her Letters , she  asked the little Boy next her , what he had for Dinner ? Who answered ,  _ Bread _ . ( the poor Children in many Places live very hard ) Well  then , says she , set the first Letter . He put up the Letter B , to which  the next added r , and the next e , the next a , the next d , and it stood  thus , _ Bread _ .  And what had you _ Polly Comb _ for your Dinner ? _ Apple - pye _  answered the little Girl : Upon which the next in Turn set up a great  A , the two next a p each , and so on till the two Words Apple and Pye  were united and stood thus , _ Apple - pye _ .  The next had _	1	0
 The next Place we came to was Farmer _ Thompson 's _ , where there  were a great many little ones waiting for her .  So little Mrs. _ Goody Two - Shoes _ , says one of them , where have  you been so long ? I have been teaching , says she , longer than I  intended , and am afraid I am come too soon for you now . No , but indeed  you are not , replied the other ; for I have got my Lesson , and so has  _ Sally Dawson _ , and so has _ Harry Wilson _ , and so we have  all ; and they capered about as if they were overjoyed to see her . Why  then , says she , you are all very good , and GOD Almighty will love you ;  so let us begin our Lessons . They all huddled round her , and though at  the other Place they were employed about Words and Syllables , here we  had People of much greater Understanding who dealt only in Sentences .  The Letters being brought upon the Table , one of the little ones set  up the following Sentence .  _ The Lord have Mercy upon me , and grant that I may be always good ,  and say my Prayers , and love the Lord my God with all my Heart , with  all my Soul , and with all my Strength ; and honour the King , and all  good Men in Authority under him . _  Then the next took the Letters , and composed this Sentence .  _ Lord have Mercy upon me , and grant that I may love my Neighbour as  myself , and do unto all Men as I would have them do unto me , and tell  no Lies ; but be honest and just in all my Dealings . _  The third composed the following Sentence .  _ The Lord have Mercy upon me , and grant that I may honour my Father  and Mother , and love my Brothers and Sisters , Relations and Friends ,  and all my Playmates , and every Body , and endeavour to make them  happy . _  The fourth composed the following .  _ I pray _ GOD _ to bless this whole Company , and all our Friends ,  and all our Enemies . _  To this last _ Polly Sullen _ objected , and said , truly , she did  not know why she should pray for her Enemies ? Not pray for your  Enemies , says Little _ Margery _ ; yes , you must , you are no  Christian , if you do n't forgive your Enemies , and do Good	1	0
   LESSON I.    He that will thrive ,    Must rise by Five .    He that hath thriv'n ,    May lie till Seven .    Truth may be blam'd ,    But can not be sham'd .    Tell me with whom you go ;    And I 'll tell what you do .    A Friend in your Need ,    Is a Friend indeed .    They ne'er can be wise ,    Who good Counsel despise .    LESSON II .    A wise Head makes a close Mouth .    Do n't burn your Lips with another Man 's Broth .    Wit is Folly , unless a wise Man hath the keeping of it .    Use soft Words and hard Arguments .    Honey catches more Flies than Vinegar .    To forget a Wrong is the best Revenge .    Patience is a Plaister for all Sores .    Where Pride goes , Shame will follow .    When Vice enters the Room , Vengeance is near the Door .    Industry is Fortune 's right Hand , and Frugality her left .    Make much of Three - pence , or you ne'er will be worth a Groat .    LESSON III .    A Lie stands upon one Leg , but Truth upon two .    When a Man talks much , believe but half what he says .    Fair Words butter no Parsnips .    Bad Company poisons the Mind .    A covetous Man is never satisfied .    Abundance , like Want , ruins many .    Contentment is the best Fortune .    A contented Mind is a continual Feast .    A LESSON in Religion .    Love GOD , for he is good .    Fear GOD , for he is just .    Pray to GOD , for all good Things come from him .    Praise GOD , for great is his Mercy towards us , and wonderful      are all his Works .    Those who strive to be good , have GOD on their Side .    Those who have GOD for their Friend , shall want nothing .    Confess your Sins to GOD , and if you repent he will forgive you .    Remember that all you do , is done in the Presence of GOD .    The Time will come , my Friends , when we must give    Account to GOD , how we on Earth did live .    A Moral LESSON .    A good Boy will make a good Man .    Honour your Parents , and the World will honour you .    Love your Friends , and your Friends will love you .    He that swims in Sin , will sink in Sorrow .    Learn to live , as you would wish to die .      As you expect all Men should deal by	1	0
